Date,Scaled_Return,Conditional_Volatility
2015-11-23,0.14679820000000002,0.31789928608114937
2015-11-24,-0.3246318,0.3072481334190022
2015-11-25,-0.7290609,0.314721010853235
2015-11-26,0.1808379,0.36091400561219217
2015-11-27,0.2570406,0.3493598730859595
2015-11-30,0.2555282,0.34493909419179963
2015-12-01,-0.055008800000000004,0.3407742106053037
2015-12-02,0.2948052,0.3216037358719195
2015-12-03,-0.2109937,0.3226677940049458
2015-12-05,0.28245919999999997,0.3185452294924667
2015-12-06,0.034864400000000004,0.318850866095423
2015-12-08,0.7028189,0.2993228342150715
2015-12-10,0.4497791,0.3382879530345127
2015-12-11,0.024863700000000002,0.3509330642135763
2015-12-14,0.4041388,0.32797415739470087
2015-12-15,0.0954328,0.3376515577984044
2015-12-16,-0.1910758,0.3212908595461783
2015-12-17,0.23620770000000002,0.3155217044146758
2015-12-18,-0.14056470000000001,0.31228589284100133
2015-12-21,-0.1158052,0.3028394706990146
2015-12-22,-0.0857941,0.29202326492112407
2015-12-23,0.1009166,0.27950315676552023
2015-12-28,-0.0453835,0.26836323577113386
2015-12-29,-0.11619589999999999,0.2542991642926617
2015-12-30,-0.0253012,0.24747729719993722
2015-12-31,0.0202421,0.23337085090215498
2016-01-03,-0.2632565,0.21957989554634352
2016-01-04,-0.23316389999999998,0.22890716086191257
2016-01-06,0.1578489,0.23465431108770207
2016-01-07,-0.3196743,0.23170831174462464
2016-01-08,-0.2255801,0.2453187356613857
2016-01-09,0.2886043,0.24900262030566678
2016-01-11,-0.1604188,0.2557436036793973
2016-01-12,0.0194446,0.25270294237259666
2016-01-13,-0.09378410000000001,0.23732697949596665
2016-01-14,-0.0148266,0.22990775746769923
2016-01-15,-0.1535049,0.21629529377264017
2016-01-18,0.306469,0.21582839706614074
2016-01-19,-0.19252640000000001,0.22692485971450174
2016-01-20,-0.09410500000000001,0.2291190664599264
2016-01-21,-0.0347217,0.2223786857368023
2016-01-22,-0.3887891,0.211043082147967
2016-01-26,-0.4580305,0.23323819852027405
2016-01-27,-0.3046624,0.26022759049834504
2016-01-28,-0.27090780000000003,0.2699414599812225
2016-01-29,-0.906702,0.27569778951251644
2016-02-02,0.5927962,0.3456853544563332
2016-02-03,-0.332635,0.3700835325665568
